"Col1","Col2","Col3","retail_price","is_FK_Advantage_product","brand","Demand"
"Footwear","Womens","Casual",2499,0,"",1.25012506253127
"Watches","Wrist","Franck",1299,0,"",1.66538461538462
"Footwear","Womens","Casual",2295,0,"",1
"Watches","Wrist","Ridas",349,0,"",1.40160642570281
"Footwear","Womens","Casual",4495,0,"",1
"Footwear","Womens","Casual",2099,1,"",1
"Watches","Wrist","Skmei",2345,0,"",1.98897370653096
"Footwear","Womens","Casual",1899,0,"",1.9009009009009
"Footwear","Womens","Casual",1995,0,"",1
"Watches","Wrist","Skmei",1799,0,"",1.50041701417848
"Footwear","Womens","Casual",3299,0,"",1.99939393939394
"Watches","Wrist","Now",600,0,"",1
"Watches","Wrist","Disney",1350,0,"",1
"Footwear","Womens","Casual",3499,0,"",1.25008931761343
"Footwear","Womens","Casual",2499,0,"",1.04168403501459
"Footwear","Womens","Casual",3999,0,"",2.2657223796034
"Footwear","Womens","Casual",3999,0,"",2.00050025012506
"Footwear","Womens","Casual",1599,0,"",2.50234741784038
"Watches","Wrist","Jacques",2850,0,"",1.81876196553925
"Footwear","Womens","Casual",2795,0,"",1.55277777777778
"Footwear","Womens","Casual",4995,0,"",1.33342231713828
"Watches","Wrist","Oxter",999,0,"",3.34113712374582
"Footwear","Womens","Casual",3499,1,"",2.22299872935197
"Watches","Wrist","Positif",1100,0,"",1.375
"Footwear","Womens","Casual",1200,0,"",2.00333889816361
"Watches","Wrist","DSIGNER",8995,0,"",1.05266237565828
"Footwear","Womens","Casual",4195,0,"",2.04634146341463
"Watches","Wrist","Franck",1250,0,"",1.25125125125125
"Footwear","Womens","Casual",1999,0,"",4.0060120240481
"Watches","Wrist","Felix",1350,0,"",2.43243243243243
"Footwear","Womens","Casual",1799,0,"",2.50208623087622
"Footwear","Womens","Casual",3199,0,"",1.25009769441188
"Watches","Wrist","Skmei",1499,0,"",1.5005005005005
"Footwear","Womens","Casual",799,0,"",1.14306151645207
"Watches","Wrist","Vizion",1095,0,"",1.84033613445378
"Footwear","Womens","Casual",3199,0,"",1.25009769441188
"Footwear","Womens","Casual",3499,0,"",1.66698427822773
"Footwear","Womens","Casual",1050,0,"",2.33853006681514
"Footwear","Womens","Casual",4495,0,"",2.37203166226913
"Footwear","Womens","Casual",3999,0,"",2.00050025012506
"Footwear","Womens","Casual",3499,0,"",7.01202404809619
"Watches","Wrist","Jack",1999,0,"",7.62977099236641
"Footwear","Womens","Casual",1820,0,"",1
"Watches","Wrist","fastrack",2495,0,"",1
"Footwear","Womens","Casual",2799,0,"",2.15473441108545
"Watches","Wrist","A",2499,0,"",2.00080064051241
"Footwear","Womens","Casual",1999,0,"",2.001001001001
"Watches","Wrist","Franck",1299,0,"",1.2502406159769
"Footwear","Womens","Casual",2095,0,"",2.0970970970971
"Footwear","Womens","Casual",3295,0,"",1.37578288100209
"Footwear","Womens","Casual",4395,0,"",2.04418604651163
"Watches","Wrist","Alfajr",8995,0,"",1.20013342228152
"Footwear","Womens","Casual",5999,0,"",1.87527352297593
"Footwear","Womens","Casual",3599,0,"",1.42874156411274
"Watches","Wrist","Sale",2499,0,"",4.17195325542571
"Footwear","Womens","Casual",2199,0,"",2.00090991810737
"Watches","Wrist","Britex",1990,0,"",2.84692417739628
"Footwear","Womens","Casual",2650,0,"",1
"Watches","Wrist","wish",2999,0,"",3.01407035175879
"Footwear","Womens","Casual",1500,0,"",2.50417362270451
"Watches","Wrist","Disney",1800,0,"",2
"Footwear","Womens","Casual",2799,0,"",1.25011165698973
"Watches","Wrist","Lenco",1999,0,"",2.3545347467609
"Footwear","Womens","Casual",3350,0,"",1.76315789473684
"Footwear","Womens","Casual",2799,0,"",2.15473441108545
"Footwear","Womens","Casual",3495,0,"",1.33346051125525
"Watches","Wrist","Rockstar",1299,0,"",4.34448160535117
"Watches","Wrist","Disney",1495,0,"",1.11152416356877
"Footwear","Womens","Casual",1200,0,"",2.00333889816361
"Watches","Wrist","Vizion",1095,0,"",1.84033613445378
"Footwear","Womens","Casual",3499,0,"",1.94930362116992
"Watches","Wrist","Disney",795,0,"",1
"Watches","Wrist","Elantra",2150,0,"",2.26315789473684
"Footwear","Womens","Casual",1499,0,"",1.5005005005005
"Watches","Wrist","Marvel",299,0,"",1
"Footwear","Womens","Casual",999,0,"",2.00200400801603
"Watches","Wrist","Franck",1645,0,"",1.25
"Footwear","Womens","Casual",1999,0,"",4.0060120240481
"Watches","Wrist","Skmei",1299,0,"",1.44493882091212
"Footwear","Womens","Casual",5999,0,"",1.66685190330647
"Footwear","Womens","Casual",3250,0,"",1.80555555555556
"Footwear","Womens","Casual",3599,0,"",1.50020842017507
"Footwear","Womens","Casual",2199,0,"",2.00090991810737
"Watches","Wrist","Eleganzza",1299,0,"",2.60320641282565
"Footwear","Womens","Casual",1399,0,"",1.4004004004004
"Footwear","Womens","Casual",2999,0,"",2.50125104253545
"Watches","Wrist","Lenco",1499,0,"",2.5025041736227
"Footwear","Womens","Casual",2799,0,"",1.25011165698973
"Watches","Wrist","Zoop",750,0,"",1
"Watches","Wrist","Shoppingekart",2399,0,"",5.00835073068894
"Footwear","Womens","Casual",2299,0,"",1.43777360850532
"Footwear","Womens","Casual",1799,0,"",2.50208623087622
"Footwear","Womens","Casual",4695,0,"",1.33342800340812
"Watches","Wrist","DSigner",6995,0,"",1.05267118133935
"Footwear","Womens","Casual",2495,0,"",1.38688160088938
"Watches","Wrist","SwissFire",2195,0,"",1.8185584092792
"Footwear","Womens","Casual",3499,0,"",1.25008931761343
"Watches","Wrist","A",1299,0,"",2.03286384976526
"Footwear","Womens","Casual",2299,0,"",2.00087032201915
"Watches","Wrist","Logues",1235,0,"",1
"Footwear","Womens","Casual",2799,0,"",2.15473441108545
"Watches","Wrist","Swag",1499,0,"",2.5025041736227
"Watches","Wrist","Zoop",650,0,"",1
"Footwear","Womens","Casual",2795,0,"",1
"Sports","Fitness","Sports",1195,0,"ezyPRNT",2.00840336134454
"Sports","Fitness","Sports",1195,0,"ezyPRNT",2.00840336134454
"Sports","Fitness","Sports",1195,0,"ezyPRNT",2.00840336134454
"Sports","Fitness","Sports",1195,0,"ezyPRNT",2.00840336134454
"Clothing","Mens","Accessories",500,0,"Traditions",1.2531328320802
"Home","Furnishing","Room",2199,0,"First Choice",2.2461695607763
"Clothing","Womens","Lingerie",899,0,"Eccellente",2.67559523809524
"Clothing","Mens","Accessories",500,0,"Traditions",1.2531328320802
"Home","Furnishing","Room",2199,0,"First Choice",2.2461695607763
"Home","Furnishing","Room",2199,0,"First Choice",2.2461695607763
"Sports","Fitness","Sports",1399,0,"JASPO",1.81688311688312
"Clothing","Kids","Girls",1775,0,"Masaba for Magic fairy",1.1107634543179
"Clothing","Womens","Ethnic",3999,0,"Momin Libas",1.66763969974979
"Mobiles","Accessories","Accessories",990,0,"ACM",2.92035398230089
"Toys","School","Musical",999,0,"A R ENTERPRISES",3.34113712374582
"Home","Furnishing","Room",2199,0,"First Choice",2.2461695607763
"Home","Furnishing","Room",2199,0,"SANTOSH ROYAL FASHION",2.2461695607763
"Home","Furnishing","Room",2199,0,"First Choice",2.2461695607763
"Footwear","Mens","Casual",799,0,"ShoeBuzz",3.23481781376518
"Footwear","Mens","Casual",499,0,"Zed",1
"Home","Furnishing","Linen",1160,0,"House This",1
"Mobiles","Accessories","Accessories",990,0,"ACM",2.92035398230089
"Jewellery","Bangles","Armlets",2000,0,"womaniya",1.66666666666667
"Jewellery","Bangles","Armlets",665,0,"Taj Pearl",1.66666666666667
"Sports","Fitness","Sports",2299,0,"JASPO",1.81023622047244
"Jewellery","Bangles","Armlets",665,0,"Taj Pearl",1.66666666666667
"Toys","School","Musical",199,0,"Bento",3.15873015873016
"Clothing","Mens","Winter",1495,0,"Wake Up Competition",1.99866310160428
"Jewellery","Bangles","Armlets",665,0,"Taj Pearl",1.66666666666667
"Jewellery","Bangles","Armlets",665,0,"Taj Pearl",1.66666666666667
"Footwear","Mens","Sports",1299,0,"JQR",1
"Footwear","Mens","Sports",999,0,"JQR",1
"Clothing","Womens","Accessories",1099,0,"Great Art",2.22920892494929
"Home","Furnishing","Accessories",1733,0,"Skipper",1.6679499518768
"Clothing","Mens","Winter",4999,0,"Mizuno",1
"Sports","Fitness","Sports",1637,0,"Turbo",2.00122249388753
"Sports","Fitness","Sports",1232,0,"Turbo",2
"Home","Decor","Needs",1250,0,"Pure Source",3.33333333333333
"Clothing","Womens","Western",1199,0,"",1.50817610062893
"Clothing","Womens","Western",1199,0,"",1.3625
"Clothing","Womens","Western",1699,0,"",1.39835390946502
"Jewellery","Rings",NA,2746,0,"Asian Gems & Jewels",3.99708879184862
"Jewellery","Rings",NA,2973,0,"Asian Gems & Jewels",4.00134589502019
"Jewellery","Rings",NA,1937,0,"Asian Gems & Jewels",2.00103305785124
"Home","Furnishing","Accessories",1000,0,"Kings",4.01606425702811
"Jewellery","Rings",NA,16880,0,"Avsar",2
"Clothing","Womens","Western",399,1,"",1.11142061281337
"Jewellery","Rings",NA,18350,0,"Nishtaa",1.05260138817186
"Footwear","Kids","Footwear",399,0,"",1.33444816053512
"Clothing","Womens","Western",2499,0,"",1.66711140760507
"Clothing","Womens","Western",1799,0,"",2.25156445556946
"Clothing","Mens","Shirts",2099,0,"Slim",1.428863172226
"Home","Decor","Needs",799,0,"Eshoppee",2.00250626566416
"Jewellery","Rings",NA,49999,0,"Karatcraft",1.46106192104263
"Jewellery","Rings",NA,8190,0,"Nishtaa",1.0525639377972
"Clothing","Kids","Girls",1205,0,"",1.25
"Clothing","Kids","Girls",1299,0,"",1.3003003003003
"Clothing","Mens","Shirts",999,0,"Slim",2.86246418338109
"Clothing","Mens","Shirts",999,0,"Slim",2.86246418338109
"Clothing","Mens","Shirts",999,0,"Slim",2.86246418338109
"Clothing","Mens","Shirts",1399,1,"Slim",1
"Clothing","Womens","Ethnic",1664,0,"",3.33466933867735
"Clothing","Womens","Ethnic",2499,0,"",3.33644859813084
"Clothing","Womens","Western",999,0,"",2.50375939849624
"Clothing","Womens","Western",1299,0,"",3.0855106888361
"Clothing","Womens","Western",999,0,"",1.42918454935622
"Clothing","Womens","Western",800,0,"",2.00501253132832
"Clothing","Womens","Western",1499,0,"",1.42897998093422
"Clothing","Womens","Western",950,0,"",2.11581291759465
"Clothing","Womens","Western",849,0,"",1.70140280561122
"Clothing","Womens","Western",999,0,"",2.72207084468665
"Clothing","Womens","Western",999,0,"",2.72207084468665
"Jewellery","Rings",NA,47822,0,"Karatcraft",1.45033815546053
"Jewellery","Rings",NA,29366,0,"WearYourShine by PCJ",1
"Clothing","Womens","Western",999,0,"",1
"Clothing","Womens","Western",699,0,"",1
"Clothing","Womens","Western",799,0,"",1
"Clothing","Womens","Western",799,0,"",1
"Clothing","Womens","Western",999,0,"",1
"Clothing","Womens","Western",899,0,"",1
"Clothing","Womens","Western",999,0,"",1
"Clothing","Womens","Western",699,0,"",1
"Clothing","Womens","Western",999,0,"",1
"Clothing","Womens","Western",999,0,"",1
"Clothing","Womens","Western",799,0,"",1
"Clothing","Womens","Western",699,0,"",1
"Clothing","Womens","Western",599,0,"",1
"Clothing","Womens","Western",599,0,"",1
"Jewellery","Rings",NA,29348,0,"BlueStone",1.296060766649
"Jewellery","Rings",NA,42068,0,"Karatcraft",1.20002282062985
"Jewellery","Rings",NA,40267,0,"Karatcraft",1.47915365683429
"Clothing","Womens","Western",1390,0,"",2
"Clothing","Womens","Western",2000,0,"",1.33333333333333
"Jewellery","Rings",NA,43481,0,"Karatcraft",1.20000551967765
"Clothing","Womens","Western",698,0,"",2.04093567251462
"Jewellery","Rings",NA,44247,0,"Karatcraft",1.20001627251031
"Clothing","Mens","Shirts",1699,0,"Slim",2.83639398998331
"Clothing","Womens","Western",710,0,"",1
"Clothing","Womens","Western",1089,0,"",1.99816513761468
"Clothing","Womens","Western",799,0,"",1.60120240480962
"Clothing","Womens","Western",1419,0,"",1.99859154929577
"Jewellery","Rings",NA,6160,0,"Clara",2.23188405797101
"Jewellery","Rings",NA,5270,0,"Clara",2.23305084745763
"Jewellery","Rings",NA,4210,0,"Clara",2.23936170212766
"Clothing","Womens","Winter",1699,0,"",1.66732090284593
"Jewellery","Rings",NA,5270,0,"Clara",2.23305084745763
"Jewellery","Rings",NA,4750,0,"Clara",2.23004694835681
"Jewellery","Rings",NA,3530,0,"Clara",2.2484076433121
"Jewellery","Rings",NA,35415,0,"BlueStone",1.31244441150311
"Clothing","Womens","Western",1199,0,"",4.01003344481605
"Clothing","Womens","Western",1199,0,"",2.50313152400835
"Clothing","Womens","Western",2400,0,"",5
"Clothing","Womens","Lingerie",895,0,"",1.23448275862069
"Jewellery","Rings",NA,11820,0,"Nishtaa",1.05263157894737
"Clothing","Womens","Western",2899,0,"",1.9339559706471
"Clothing","Mens","Shirts",1699,0,"Regular Fit",2.00117785630153
"Jewellery","Rings",NA,1656,0,"Asian Gems & Jewels",2
"Jewellery","Rings",NA,3030,0,"Asian Gems & Jewels",4.00264200792602
"Clothing","Womens","Western",2325,0,"",3
"Clothing","Womens","Western",2550,0,"",3
"Clothing","Womens","Western",2500,0,"",2.78086763070078
"Clothing","Womens","Western",2700,0,"",3.00333704115684
"Clothing","Womens","Western",2000,0,"",2.86123032904149
"Clothing","Womens","Western",1999,0,"",3.33722871452421
"Clothing","Womens","Western",2999,0,"",3.61761158021713
"Clothing","Womens","Western",2999,0,"",3.61761158021713
"Footwear","Kids","Footwear",499,0,"",1
"Clothing","Womens","Western",600,0,"",1.64383561643836
"Clothing","Womens","Western",1500,0,"",1.76470588235294
"Clothing","Womens","Western",1500,0,"",3.33333333333333
"Clothing","Womens","Western",700,0,"",1.97183098591549
"Clothing","Womens","Winter",1599,0,"",3.20440881763527
"Clothing","Womens","Winter",1595,0,"",1
"Jewellery","Rings",NA,28963,0,"WearYourShine by PCJ",1
"Jewellery","Rings",NA,1743,0,"Asian Gems & Jewels",1.99885321100917
"Clothing","Womens","Western",999,0,"",1.11123470522803
"Clothing","Womens","Western",999,0,"",1.11123470522803
"Clothing","Womens","Western",1100,0,"",1.57142857142857
"Jewellery","Rings",NA,8538,0,"KuberBox",1
"Clothing","Womens","Western",1199,0,"",2.07081174438687
"Clothing","Womens","Western",2500,0,"",2.5025025025025
"Clothing","Womens","Western",1200,0,"",1.74165457184325
"Clothing","Womens","Western",1295,0,"",1
"Jewellery","Rings",NA,42321,0,"Karatcraft",1.49454391355016
"Jewellery","Rings",NA,32528,0,"Karatcraft",1.57352941176471
"Jewellery","Rings",NA,32658,0,"Karatcraft",1.57562599507888
"Clothing","Kids","Girls",1699,0,"",1.74974253347065
"Jewellery","Rings",NA,30176,0,"Karatcraft",1.45433514868186
"Jewellery","Rings",NA,32524,0,"Karatcraft",1.57990867579909
"Clothing","Kids","Girls",1499,0,"",2.1444921316166
"Clothing","Kids","Girls",1999,0,"",2.85979971387697
"Clothing","Kids","Girls",1899,0,"",1.85268292682927
"Clothing","Kids","Girls",1899,0,"",2.00105374077977
"Clothing","Womens","Lingerie",1099,0,"",2.50341685649203
"Clothing","Womens","Western",310,0,"",1
"Jewellery","Rings",NA,49999,0,"Karatcraft",1.18307226349912
"Jewellery","Rings",NA,45345,0,"Karatcraft",1.20001587847672
"Jewellery","Rings",NA,31033,0,"CaratLane",1
"Home","Decor","Needs",4500,0,"Karigaari",2.19512195121951
"Jewellery","Rings",NA,29292,0,"WearYourShine by PCJ",1
"Clothing","Womens","Western",2599,0,"",2.89098998887653
"Clothing","Womens","Western",2299,0,"",2.55728587319244
"Clothing","Womens","Western",2299,0,"",2.70789163722026
"Clothing","Womens","Western",2299,0,"",2.55728587319244
"Clothing","Womens","Western",2299,0,"",2.55728587319244
"Jewellery","Rings",NA,6740,0,"Nishtaa",1.05263157894737
"Clothing","Womens","Western",1999,0,"",2.50187734668335
"Clothing","Womens","Western",2299,0,"",2.3013013013013
"Mobiles","Accessories","Accessories",799,0,"Totta",2.00250626566416
"Clothing","Mens","Shirts",1699,0,"Slim",2.83639398998331
"Jewellery","Rings",NA,48596,0,"Karatcraft",1.57692182886069
"Jewellery","Rings",NA,44226,0,"Karatcraft",1.43866497511467
"Clothing","Womens","Sports",799,0,"",1.05131578947368
"Clothing","Kids","Girls",1599,0,"",1.42895442359249
"Footwear","Womens","Casual",499,0,"",1.11135857461025
"Clothing","Kids","Girls",1999,0,"",1.4288777698356
"Clothing","Kids","Girls",1699,0,"",1.42893187552565
"Clothing","Kids","Girls",2099,0,"",1.428863172226
"Clothing","Kids","Girls",1685,0,"",1
"Clothing","Kids","Girls",1299,0,"",1.42904290429043
"Jewellery","Rings",NA,49542,0,"Karatcraft",1.45241864555849
"Clothing","Mens","Winter",1375,0,"",1.25570776255708
"Clothing","Womens","Western",2394,0,"",3.03807106598985
"Clothing","Mens","Winter",1799,0,"",1.09030303030303
"Clothing","Mens","Winter",1395,0,"",1.1673640167364
"Clothing","Kids","Girls",699,0,"",2.19122257053292
"Clothing","Kids","Girls",699,0,"",2.19122257053292
"Jewellery","Rings",NA,23949,0,"WearYourShine by PCJ",1
"Jewellery","Rings",NA,31673,0,"WearYourShine by PCJ",1
"Jewellery","Rings",NA,31663,0,"WearYourShine by PCJ",1
"Clothing","Womens","Western",2400,0,"",2
"Clothing","Womens","Western",1190,0,"",2
"Clothing","Womens","Western",1299,0,"",2.60320641282565
"Clothing","Womens","Western",1199,0,"",2.40280561122244
"Clothing","Womens","Western",4000,0,"",2
"Clothing","Womens","Western",1450,0,"",1.38095238095238
"Clothing","Womens","Western",499,0,"",1.3899721448468
"Clothing","Womens","Western",999,0,"",2.50375939849624
"Clothing","Womens","Western",999,0,"",1
"Clothing","Womens","Western",1450,0,"",1.42857142857143
"Jewellery","Rings",NA,31062,0,"CaratLane",1
"Jewellery","Rings",NA,20717,0,"WearYourShine by PCJ",1
"Footwear","Womens","Casual",2750,0,"",2.11701308698999
"Footwear","Womens","Casual",3699,0,"",1.42873696407879
"Footwear","Womens","Casual",3299,0,"",1.42875703767865
"Footwear","Womens","Casual",2999,0,"",1.42877560743211
"Footwear","Womens","Ballerinas",699,0,"",1.75187969924812
"Jewellery","Rings",NA,15720,0,"Araanz by Tribhovandas Bhimji Zaveri Delhi",1.25
"Jewellery","Rings",NA,11880,0,"Nishtaa",1.05263157894737
"Jewellery","Rings",NA,8700,0,"Nishtaa",1.05263157894737
"Clothing","Womens","Sports",599,0,"",1.20040080160321
"Clothing","Womens","Sports",599,0,"",1.20040080160321
"Clothing","Womens","Sports",599,0,"",1.20040080160321
"Clothing","Womens","Sports",599,0,"",1.20040080160321
"Clothing","Womens","Western",795,0,"",1.99748743718593
"Clothing","Womens","Western",1135,0,"",1.66666666666667
"Clothing","Womens","Western",1135,0,"",1.66666666666667
"Clothing","Womens","Western",845,0,"",1.38524590163934
"Clothing","Womens","Western",875,0,"",1.98863636363636
"Clothing","Womens","Winter",2099,1,"",1.53885630498534
